t_id	chr	strand	start	end	t_name	num_exons	length	NA	gene_name	cov	FPKM

1	211000022278158	+	592	1036	FBtr0114187	1	445	NA	CR40502	0.106966	0.160757

2	211000022278279	-	11634	12709	FBtr0347033	1	1076	NA	CR45932	0.000000	0.000000

3	211000022278282	+	518	2511	FBtr0114261	1	1994	NA	CR41590	0.050150	0.075370

4	211000022278298	+	648	1614	FBtr0114196	1	967	NA	CR40571	0.000000	0.000000

5	211000022278307	-	1	824	FBtr0114201	1	824	NA	CR40582	0.000000	0.000000

6	211000022278309	+	1	1110	FBtr0114198	1	1110	NA	CR40573	0.000000	0.000000

7	211000022278436	-	1551	2815	FBtr0300146	1	1265	NA	Su(Ste):CR42418	0.000000	0.000000

8	211000022278449	-	528	1635	FBtr0308947	2	1051	NA	Mst77Y-16Psi	0.000000	0.000000

9	211000022278498	-	13189	13940	FBtr0114286	1	752	NA	CR42195	5.099113	7.663373

10	211000022278522	-	390	2086	FBtr0114194	1	1697	NA	CR40561	0.000000	0.000000

11	211000022278603	-	1	834	FBtr0114206	1	834	NA	CR40613	0.000000	0.000000

12	211000022278604	+	1	265	FBtr0114202	1	265	NA	CR40594	0.000000	0.000000

13	211000022278664	-	1	1088	FBtr0114205	1	1088	NA	CR40611	0.000000	0.000000

14	211000022278724	-	930	2904	FBtr0114259	1	1975	NA	CR41583	0.095190	0.143059

15	211000022278750	+	1	1134	FBtr0114207	1	1134	NA	CR40621	0.601293	0.903673

16	211000022278760	-	562	879	FBtr0302344	2	264	NA	CG40635	0.000000	0.000000

17	211000022278875	+	1	2099	FBtr0114274	1	2099	NA	CR41606	0.000000	0.000000

18	211000022278877	+	1	549	FBtr0114208	1	549	NA	CR40639	0.465574	0.699704

19	211000022278878	+	1	569	FBtr0114209	1	569	NA	CR40640	9.932105	14.926797

20	211000022278879	+	1	559	FBtr0114210	1	559	NA	CR40641	0.000000	0.000000

21	211000022278880	+	1	540	FBtr0114253	1	540	NA	CR41544	0.133333	0.200384

22	211000022278985	-	497	1020	FBtr0114284	1	524	NA	CR41620	0.000000	0.000000

23	211000022279055	+	384	1123	FBtr0114214	1	740	NA	CR40668	4.399550	6.612011

24	211000022279108	+	1	566	FBtr0114211	1	566	NA	CR40642	0.366078	0.550173

25	211000022279132	+	1	1005	FBtr0114283	1	1005	NA	CR41619	4.447728	6.684418

26	211000022279134	+	1	1012	FBtr0114216	1	1012	NA	CR40679	0.511199	0.768273

27	211000022279165	-	14	1118	FBtr0300167	1	1105	NA	Su(Ste):CR42439	0.000000	0.000000

28	211000022279188	+	1449	2180	FBtr0300105	3	615	NA	SteXh:CG42398	0.000000	0.000000

29	211000022279222	+	1	506	FBtr0114218	1	506	NA	CR40712	5.794104	8.707865

30	211000022279264	-	180	614	FBtr0304147	1	435	NA	CR40719	0.036782	0.055279

31	211000022279342	+	1	530	FBtr0114222	1	530	NA	CR40743	0.000000	0.000000

32	211000022279392	-	1	1356	FBtr0300161	1	1356	NA	Su(Ste):CR42433	0.000000	0.000000

33	211000022279446	+	1	1266	FBtr0114275	1	1266	NA	CR41607	0.000000	0.000000

34	211000022279528	+	2	463	FBtr0114285	1	462	NA	CR41621	0.000000	0.000000

35	211000022279529	+	1	838	FBtr0114223	1	838	NA	CR40766	0.952983	1.432223

36	211000022279531	-	626	1200	FBtr0114280	1	575	NA	CR41613	6.255507	9.401299

37	211000022279555	-	51	1080	FBtr0114257	1	1030	NA	CR41550	0.055049	0.082732

38	211000022279681	+	401	1054	FBtr0300134	1	654	NA	Su(Ste):CR42406	0.000000	0.000000

39	211000022279708	+	608	1275	FBtr0114249	1	668	NA	CR41535	5.302769	7.969445

40	211000022280133	-	220	2161	FBtr0114262	1	1942	NA	CR41591	0.000000	0.000000

41	211000022280328	-	7386	9527	FBtr0347010	4	1428	NA	CG41561	0.000000	0.000000

42	211000022280341	-	1	740	FBtr0347034	1	740	NA	CR45933	0.000000	0.000000

43	211000022280347	-	7	354	FBtr0302352	1	348	NA	CR40947	0.000000	0.000000

44	211000022280481	+	1230	2419	FBtr0300141	1	1190	NA	Su(Ste):CR42411	0.000000	0.000000

45	211000022280494	-	1	1443	FBtr0300139	1	1443	NA	Su(Ste):CR42408	0.000000	0.000000

46	211000022280494	-	2048	3374	FBtr0300138	1	1327	NA	Su(Ste):CR42409	0.000000	0.000000

47	211000022280645	+	1	765	FBtr0114228	1	765	NA	CR40959	0.290980	0.437309

48	211000022280703	+	699	1770	FBtr0347035	1	1072	NA	CR45934	0.000000	0.000000

49	2L	+	7529	9484	FBtr0300689	2	1880	NA	CG11023	0.145213	0.218238

